word,example
Exampleless,"The dictionary is exampleless when it comes to the word ""antidisestablishmentarianism."""
Exampler,The exampler taught the students how to write a good essay.
Exampless,Examples of solar energy include solar panels and solar water heaters.
Exanguious,No example available
Exangulous,The exangulous patient was pale and clammy.
Exanimate,The exanimate body was discovered in the woods.
Exanimation,No example available
Exanimous,The exanimous man was barely conscious.
Exannulate,The exannulate sporangia were found in the fossil record.
Exanthem,The rash is a type of exanthem.
Exanthemata,The child's rash was diagnosed as exanthemata.
Exanthema,A rash is an example of an exanthema.
Exanthematic,an exanthematic rash
Exanthematous,The exanthematous rash was caused by the measles virus.
Exanthesis,The exanthesis of the rash was a symptom of measles.
Exantlate,The exhausted hiker exantlated as he reached the top of the mountain.
Exantlation,The exantlation of the disease killed many people.
Exarate,The doctor carefully exerated the tumour.
Exaration,The exaration of the priest was heard throughout the church.
Exarch,The exarch led the delegation to the neighboring country.
Exarchate,Ravenna was the capital of the Byzantine Exarchate of Ravenna.
Exarillate,The insect has exarillate wings.
Exarticulate,The musician exarticulated his notes to create a unique sound.
Exarticulation,The exarticulation of the shoulder joint was a painful procedure.
Exasperate,The constant noise from the construction site exasperated the neighbours.
Exsasperated,The exasperated customer threw the phone down.
Exasperating,Her exasperating behaviour drove me to distraction.
Exasperater,The exasperater is a device that is used to annoy people.
Exasperation,The exasperation of the teacher was evident when she threw her chalk at the whiteboard.
Exaspidean,The exaspidean beetle is a type of insect.
Exauctorate,The lawyer was exauctorated for his misconduct.
Exauctoration,The judge read the document of exauctoration.
Exaugurate,The president exaugurated the chief justice.
Exauguration,The exauguration of the president took place in the Capitol building.
Exauthorate,The president exauthorated the new law.
Exauthoration,The exauthoration of the bill was met with mixed reactions.
Exauthorize,The president exauthorized the military to invade the country.
Excalceate,The patient excalceated his feet in order to examine them.
Excalceation,The excalceation of the patient's feet was necessary to treat the infection.
Excalfaction,Excalfaction causes the formation of a glassy layer on the surface of the material.
Excalfactive,The excalfactive desert winds left the plants withered and dry.
Excalfactory,An excalfactory is a factory that makes Excaliburs.
Excalibur,King Arthur drew Excalibur from the stone.
Excamb,The two countries agreed to an exchange of prisoners.
Excambie,The two women exchanged numbers and promised to keep in touch.
Excambion,Excambion is a Spanish word for exchange.
Excambium,Excamium is a tissue that connects a parasitic plant to its host.
Excandescence,the excandescence of the stars in the night sky
Excandescent,The excandescent light bulbs were too bright for the room.
Excantation,The priest uttered an excantation to drive away the evil spirits.
Excarnate,"The demon was excarnate, and its essence was free to roam."
Excarnation,The excarnation of the body is a necessary step in the process of mummification.
Excarnificate,The body was excarnificated by the vultures.
Excarnification,Excarnification is the process of removing the flesh from a corpse.
Excavated,"Archaeologists excavated a 1,000-year-old temple."
Excavating,Archaeologists excavating a site to find ancient artifacts.
Excavate,Archeologists excavate an ancient city.
Excavation,Archaeologists begin excavation of the dig site .
Excavator,An excavator is digging up the ground.
Excave,Archaeologists excavate a site in search of ancient artifacts.
Excecate,A cat excecates in the litter box.
Excecation,She had high excecations for the new year.
Excedent,"In the past year, we had an operating surplus of 100,000 euros."
Exceeded,The number of tourists exceeded expectations.
Exceeding,Speeding cars exceeding the speed limit.
Exceed,The company exceeded its sales goal for the quarter.
Exceedable,"The speed limit on this road is 30 mph, but it is exceedable in emergencies."
Exceeder,The speed exceeder was pulled over by the police.
Exceedingly,The exceedingly large cake was a hit at the party.
Excelled,The students excelled at the math competition.
Excelling,Students are excelling in their studies.
Excel,The data is stored in an Excel spreadsheet.
Excellence,"Excellence is a habit, not an event."
Excellencies,"Your Excellencies, I am honored to be here today."
Excellency,"Your Excellency, I am honored to meet you."
Excellent,Excellent food makes me happy.
Excellently,The student performed excellently on the exam.
Excelsior,The students sang 'Excelsior' at the end of the concert.
Excentral,The excentral projection of a sphere is a map onto a plane.
Excentric,An eccentric old man lived in a small town.
Excentrical,An excentrical scientist invented a new type of flying car.
Excentricity,The eccentricity of the orbit of Halley's comet is 0.967.
Excepted,All students were excepted from the final exam.
Excepting,"Excepting the last few days, the weather has been quite good recently."
Except,All the children were happy except for the new one.
Exceptant,The exceptant was not satisfied with the verdict.
Exception,There is an exception to every rule.
Exceptionable,The exceptional weather conditions meant that the boat trip was cancelled.
Exceptional,The restaurant received exceptional reviews from customers.
Exceptioner,The Exceptioner is a person who is able to identify and correct errors in a system.
Exceptionless,The law is exceptionless and must be applied equally to everyone.
Exceptious,The exceptious person was always challenging the rules.
Exceptive,"The exceptive clause ""except in some cases"" modifies the verb ""be""."
Exceptless,"""The new law applies exceptless to all citizens."""
Exceptor,The exceptor was granted an exemption from the rule.
Excerebration,The excerebration of the frog was done in order to study the brain.
Excerebrose,The scientist excerebrosed the dead brain.
Excern,Researchers excern new data about the effects of climate change on polar bears.
Excernent,The excrement of the animals was a nuisance.
Excerp,An excerpt from a book is a short part of it.
Excerpted,Excerpted from a book about the history of the city.
Excerpting,A student is excerpting a passage from a book.
Excerpt,An excerpt from the book is included in the article.
Excerption,The excerpt from the book was a short story about a boy who went on an adventure.
Excerptive,An excerptive passage from a book is a small section of the text that is copied and used as an example.
Excerptor,An excerptor is a person who extracts parts of a text.
Excess,Excess fat is unhealthy.
Excessive,He had excessive amounts of chocolate in his cupboard.
Exchange,The students exchanged ideas on the latest trends in technology.
Exchanged,Two friends exchanged gifts on Christmas.
Exchanging,Two men exchanging gifts at a party.
Exchangeability,The exchangeability of goods was a key factor in the development of trade.
Exchangeable,The tickets are interchangeable.
Exchangeably,The two words can be used interchangeably in this sentence.
Exchanger,A heat exchanger is used to transfer thermal energy between two fluids.
Excheat,The land was exchequered by the government.
Excheator,The Exchequer is the department of the British Government responsible for managing the national finances.
Exchequer,The Exchequer building is located in central London.
Exchequered,An exchequered flag fluttering in the wind.
Exchequering,The department is responsible for chequering all the payments.
Excide,The music excided the crowd.
Excipient,The excipient was added to the drug to make it more palatable.
Exciple,A lay assistant to a priest is called an exciple.
Excipulum,The excipulum is the outer layer of a fungus.
Excisable,"Excisable goods include cigarettes, alcohol, and petroleum products."
Excise,The excise on cigarettes was increased by 10%.
Excised,A surgeon excised the tumor from the patient's abdomen.
Excising,The doctor was excising a tumor from the patient's liver.
Excisemen,Excisemen are government officials who collect taxes on certain goods.
Exciseman,An exciseman collects taxes on alcohol.
Excision,The excision of the tumor was successful.
Excitability,The neuron's excitability is increased by the presence of a neurotransmitter.
Excitable,An excitable puppy barks loudly at the mailman.
Excitant,The smell of the roses was the only thing that was an excitant to him.
Excitate,The excited audience cheered for their favorite team.
Excitation,The child's excitement grew as the Christmas morning drew closer.
Excitative,The excitative atmosphere of the party had everyone dancing.
Excitator,Excitator is a device used to stimulate a neuron.
